ID Estacion,Autoridad Ambiental,Estacion,Latitud,Longitud,Variable,Unidades,Tiempo de exposición (horas),a�o,Promedio,Suma,No. de datos,Representatividad Temporal,Excedencias limite actual,Porcentaje excedencias limite actual,Mediana,Percentil 98,Maximo,Fechas/horas del maximo,Minimo,Fechas/horas del mi�nimo,Dias de excedencias,Codigo del Departamento,Nombre del Departamento,Codigo del Municipio,Nombre del Municipio,Tipo de Estacion
"9,102",AMVA,CORANTIOQUIA,6.249646,-75.582735,PM10,ugm3,24,"2,021",26.4,"3,242.97",123,101,0,0,25.8,47.5,52.2,28/10/2021,8.5,17/04/2021,0,5,ANTIOQUIA,5001,MEDELLIN,Fija
"9,166",CAR,SISBEN,4.716524889,-74.21171239,PM10,ugm3,24,"2,021",26.4,395.36,15,4,0,0,26.3,40.2,40.5,14/01/2021 12:00,11.1,11/1/2021 12:00,0,25,CUNDINAMARCA,25286,FUNZA,Fija
"8,243",CAR,URBANO COTA,4.809822,-74.102062,PM10,ugm3,1,"2,021",26.4,"184,140.22","6,984",80,21,0.3,24.4,59,107.3,23/03/2021 9:00,3.4,9/1/2021 9:00,11,25,CUNDINAMARCA,25214,COTA,Fija
"8,243",CAR,URBANO COTA,4.809822,-74.102062,PM10,ugm3,24,"2,021",26.4,"7,698.54",292,80,0,0,26.2,44.6,52.9,6/3/2021 12:00,8.9,11/1/2021 12:00,0,25,CUNDINAMARCA,25214,COTA,Fija
"31,828",CORPOBOYACA,MOVIL KOICA,5.744536,-72.906089,PM10,ugm3,1,"2,021",26.4,"108,772.21","4,115",47,88,2.14,23.2,77,134.9,15/01/2021 1:00,0,18/05/2021 08:00:00  - 21/05/2021 07:00:00  - 31/05/2021 10:00:00  - 09/12/2021 05:00:00,33,15,BOYACA,15759,SOGAMOSO,Fija
"31,828",CORPOBOYACA,MOVIL KOICA,5.744536,-72.906089,PM10,ugm3,24,"2,021",26.5,"4,577.18",173,47,0,0,24.8,51.2,56.5,9/12/2021 12:00,9.1,9/8/2021 12:00,0,15,BOYACA,15759,SOGAMOSO,Fija
"9,166",CAR,SISBEN,4.716524889,-74.21171239,PM10,ugm3,1,"2,021",26.6,"9,837.65",370,4,5,1.35,22.9,69.2,105.9,13/01/2021 11:00,4.3,5/1/2021 6:00,3,25,CUNDINAMARCA,25286,FUNZA,Fija
"31,861",CAR,FUNZA - COLEGIO,4.717045,-74.215716,PM10,ugm3,1,"2,021",26.7,"166,088.17","6,217",71,31,0.5,24.9,59.4,120.5,15/09/2021 10:00,3.5,17/05/2021 7:00,17,25,CUNDINAMARCA,25286,FUNZA,Fija
"31,861",CAR,FUNZA - COLEGIO,4.717045,-74.215716,PM10,ugm3,24,"2,021",26.7,"6,934.91",260,71,0,0,26.5,46,54.4,22/04/2021 12:00,9,7/6/2021 12:00,0,25,CUNDINAMARCA,25286,FUNZA,Fija
"31,477",CORTOLIMA,POLICÍA DE CARRETERAS,4.435278,-75.202222,PM10,ugm3,24,"2,021",26.7,"3,731.94",140,115,0,0,26,42.2,44.5,8/3/2021,16,9/6/2021,0,73,TOLIMA,73001,IBAGUE,Fija
"29,617",CAR,BRICEÑO,4.943088889,-73.96195833,PM10,ugm3,1,"2,021",27,"160,895.34","5,963",68,61,1.02,23,66,170,14/01/2021 8:00,4,22/08/2021 8:00,40,25,CUNDINAMARCA,25758,SOPO,Fija
"29,617",CAR,BRICEÑO,4.943088889,-73.96195833,PM10,ugm3,24,"2,021",27,"6,637.03",246,67,0,0,25.3,43.2,50.5,21/12/2021 12:00,13.9,1/8/2021 12:00,0,25,CUNDINAMARCA,25758,SOPO,Fija
"30,044",CORPOBOYACA,ESTACIÓN PAIPA,5.7719,-73.136914,PM10,ugm3,1,"2,021",27,"131,353.48","4,866",56,55,1.13,24.4,69.4,109.4,15/02/2021 6:00,0,29/06/2021 2:00,39,15,BOYACA,15516,PAIPA,Fija
"30,044",CORPOBOYACA,ESTACIÓN PAIPA,5.7719,-73.136914,PM10,ugm3,24,"2,021",27,"5,532.28",205,56,0,0,26.4,45.7,54,19/01/2021 12:00,10.7,30/04/2021 12:00,0,15,BOYACA,15516,PAIPA,Fija
"8,254",CAR,COGUA-PTAR I,5.054945225,-73.97698601,PM10,ugm3,1,"2,021",27.5,"221,417.84","8,044",92,213,2.65,23,81,194,8/12/2021 1:00,2,14/06/2021 06:00:00  - 28/06/2021 02:00:00  - 08/07/2021 08:00:00  - 11/07/2021 01:00:00  - 11/07/2021 04:00:00  - 03/10/2021 05:00:00,108,25,CUNDINAMARCA,25200,COGUA,Fija
"8,254",CAR,COGUA-PTAR I,5.054945225,-73.97698601,PM10,ugm3,24,"2,021",27.5,"9,164.18",333,91,0,0,26.6,49,63,6/3/2021 12:00,7.4,9/5/2021 12:00,0,25,CUNDINAMARCA,25200,COGUA,Fija
"29,615",CAR,MANAS,4.957911483,-74.01097625,PM10,ugm3,1,"2,021",27.8,"134,830.28","4,854",55,135,2.78,22.6,82.7,212.7,11/2/2021 5:00,2.6,8/6/2021 6:00,47,25,CUNDINAMARCA,25126,CAJICA,Fija
"29,615",CAR,MANAS,4.957911483,-74.01097625,PM10,ugm3,24,"2,021",27.8,"5,616.26",202,55,0,0,26.6,54.6,59.6,21/04/2021 12:00,2.9,12/7/2021 12:00,0,25,CUNDINAMARCA,25126,CAJICA,Fija
"9,042",CORPOCESAR,LA JAGUA CENTRO,9.559416667,-73.32966667,PM10,ugm3,24,"2,021",27.8,"3,230.02",116,95,2,1.72,25.8,56,94,3/3/2021,9,1/12/2021,2,20,CESAR,20400,LA JAGUA DE IBIRICO,Fija
"9,024",AMVA,PLANTA TRATAMIENTO,6.190975,-75.587844,PM10,ugm3,24,"2,021",28.1,"3,541.44",126,103,0,0,28.1,50.2,62.4,25/07/2021,6.3,10/1/2021,0,5,ANTIOQUIA,5360,ITAGUI,Fija
"31,341",AMVA,ESCUELA JOAQUÍN A. (S),6.093505,-75.637314,PM10,ugm3,24,"2,021",28.3,"3,513.47",124,102,0,0,28.1,44.9,57.5,4/10/2021,2.6,17/10/2021,0,5,ANTIOQUIA,5129,CALDAS,Fija
